"","Year","Region","Wind2","Wave and tidal","Solar PV","Hydro","Landfill gas","Other bioenergy (incl Sewage gas3","Total"
"131","2012","North West","2,712.2","0.0","87.1","15.3","603.3","93.7","165.4"
"132","2012","London","11.0","0.0","34.4","0.0","164.5","76.5","594.1"
"133","2012","South East","1,396.1","0.0","213.0","0.9","915.9","81.9","844.7"
"134","2012","South West","304.7","0.0","310.2","22.6","475.0","57.6","101.7"
"135","2012","West Midlands","4.9","0.0","88.4","2.2","323.4","117.2","435.6"
"136","2012","Yorkshire and the Humber","396.9","0.2","99.4","5.5","466.6","33.3","1,726.5"
"137","2012","Northern Ireland","1,041.4","2.9","2.5","20.8","60.2","0.5","48.5"
"138","2012","Scotland","8,294.3","0.5","67.2","4,838.3","547.1","35.4","902.0"
"139","2012","Wales","1,443.1","0.0","83.7","337.4","214.3","38.3","317.5"
"140","2012","Other Sites4","5.3","0.0","59.2","0.3","0.0","0.0","2.0"
"141","2013","England","14,239.9","0.2","1,722.8","83.7","4,336.3","685.3","11,016.2"
"142","2013","East Midlands","1,585.6","0.0","189.9","12.0","317.2","72.9","275.8"
"143","2013","East of England","4,123.9","0.0","223.5","0.2","896.1","53.9","3,881.0"
"144","2013","North East","815.0","0.0","49.7","25.1","172.5","52.0","390.8"
"145","2013","North West","3,182.2","0.0","117.6","15.0","570.2","115.8","307.8"
"146","2013","London","11.7","0.0","40.7","0.0","178.2","83.6","588.0"
"147","2013","South East","3,344.9","0.0","314.6","1.4","923.0","96.1","712.9"
"148","2013","South West","394.6","0.0","533.7","20.9","480.3","62.9","151.9"
"149","2013","West Midlands","7.4","0.0","123.5","2.6","333.5","116.5","1,070.4"
"150","2013","Yorkshire and the Humber","774.5","0.2","129.6","6.5","465.3","31.8","3,637.6"
"151","2013","Northern Ireland","1,344.1","3.1","12.5","21.1","60.5","0.7","73.3"
"152","2013","Scotland","11,138.7","2.5","92.0","4,365.3","562.8","30.2","767.1"
"153","2013","Wales","1,663.0","0.0","114.4","229.1","200.5","45.1","376.3"
"154","2013","Other Sites4","10.4","0.0","66.8","4.9","0.0","0.0","9.1"
"155","2014","England","16,506.7","0.1","3,514.8","100.9","4,256.7","773.4","15,126.2"
"156","2014","East Midlands","2,014.3","0.0","370.8","13.3","318.1","80.0","411.5"
"157","2014","East of England","4,332.2","0.0","637.0","0.3","877.7","63.2","836.6"
"158","2014","North East","908.7","0.0","80.7","33.7","163.6","52.9","551.4"
"159","2014","North West","4,082.9","0.0","172.9","17.4","538.7","133.7","527.4"
"160","2014","London","14.6","0.0","56.4","0.0","179.5","79.1","560.3"
"161","2014","South East","3,556.3","0.0","626.0","1.8","921.9","112.8","739.9"
"162","2014","South West","472.4","0.0","1,176.6","25.0","490.5","61.1","197.8"
"163","2014","West Midlands","9.0","0.0","192.7","2.6","337.3","126.1","2,236.6"
"164","2014","Yorkshire and the Humber","1,116.3","0.1","201.6","6.7","429.4","64.5","9,064.8"
"165","2014","Northern Ireland","1,454.2","0.0","45.6","28.2","61.3","0.7","104.4"
"166","2014","Scotland","11,679.5","2.1","136.2","5,458.4","533.5","28.2","1,174.2"
"167","2014","Wales","2,286.5","0.0","229.5","278.7","193.5","43.6","338.6"
"168","2014","Other Sites4","39.0","0.0","113.7","26.3","0.0","0.0","49.8"
"169","2015","England","20,917.0","0.0","6,570.3","102.5","4,106.4","808.7","21,487.6"
"170","2015","East Midlands","2,478.9","0.0","826.5","13.5","299.5","86.9","680.0"
"171","2015","East of England","4,999.0","0.0","1,282.6","0.3","852.3","76.4","1,041.2"
"172","2015","North East","1,196.7","0.0","111.7","33.6","159.1","47.7","742.5"
"173","2015","North West","5,032.7","0.0","259.1","19.3","493.7","132.5","819.7"
"174","2015","London","20.1","0.0","70.0","0.0","169.0","81.3","648.2"
"175","2015","South East","4,009.7","0.0","1,332.7","1.9","888.8","136.1","947.8"
"176","2015","South West","670.5","0.0","2,000.0","23.2","473.4","49.6","268.7"
"177","2015","West Midlands","15.7","0.0","395.6","3.1","334.0","121.0","2,669.9"
"178","2015","Yorkshire and the Humber","2,493.9","0.0","292.1","7.4","436.6","77.1","13,669.6"
"179","2015","Northern Ireland","1,859.6","0.0","78.7","29.0","83.2","0.6","185.8"
"180","2015","Scotland","13,833.5","2.0","173.9","5,757.1","503.4","26.2","1,331.4"
"181","2015","Wales","3,546.9","0.0","524.9","351.6","179.2","52.1","527.9"
"182","2015","Other Sites4","152.7","0.0","213.0","48.6","0.0","0.0","95.9"
